INCI_Name,Ingredient_Class,Evidence_Strength,Effect_Strength_Weight,Evidence_Quality
Alpha Arbutin,Active,Peer-reviewed,0.75,Strong Clinical
Alpha-Lipoic Acid,Active,Peer-reviewed,0.75,Strong Clinical
Alteromonas Ferment Extract,Active,Peer-reviewed,0.8,Strong Clinical
Aluminum Chlor,Active,5 (High),,Strong Clinical
Apigenin,Active,Peer-reviewed,0.75,Strong Clinical
Arctostaphylos Uva-Ursi Leaf Extract,Active,Peer-reviewed,0.75,Strong Clinical
Artemisia Capillaris Extract,Active,Peer-reviewed,0.75,Strong Clinical
Ascorbic Acid,Active,,,Strong Clinical
Ascorbyl Tetraisopalmitate,Active,Peer-reviewed,0.8,Strong Clinical
Asiatic Acid,Active,Peer-reviewed,0.85,Strong Clinical
Asiaticoside,Active,Peer-reviewed,0.8,Strong Clinical
Astaxanthin,Active,Peer-reviewed,0.9,Strong Clinical
Avobenzone,Active,5 (High),,Strong Clinical
Azelaic Acid,Active,5 (High),,Strong Clinical
Azelaic Acid Derivative,Active,Moderate,0.75,Strong Clinical
Azelaic Acid Liposome,Active,Moderate,0.85,Strong Clinical
Azelaic Acid Potassium Salt,Active,Peer-reviewed,0.7,Strong Clinical
Azelaoyl Diglycinate,Active,Peer-reviewed,0.75,Strong Clinical
Baicalein,Active,Peer-reviewed,0.8,Strong Clinical
Baicalin,Active,Peer-reviewed,0.75,Strong Clinical
Bakuchiol Analog (Babchi Synth),Active,Peer-reviewed,0.8,Strong Clinical
Bemotrizinol,Active,5 (High),,Strong Clinical
Benzoyl Perox,Active,5 (High),,Strong Clinical
Beta-Glucan,Active,Peer-reviewed,0.8,Strong Clinical
Beta-Glucan Oligosaccharide,Active,Peer-reviewed,0.85,Strong Clinical
Beta-Sitosterol,Active,Peer-reviewed,0.8,Strong Clinical
Bifida Ferment Lysate,Active,Peer-reviewed,0.85,Strong Clinical
Bisabolol,Active,Peer-reviewed,0.8,Strong Clinical
Calendula Officinalis Extract,Active,Peer-reviewed,0.75,Strong Clinical
Camellia Sinensis Leaf Extract,Active,Peer-reviewed,0.85,Strong Clinical
Campesterol,Active,Peer-reviewed,0.75,Strong Clinical
Capryloyl Salicylic Acid,Active,Peer-reviewed,0.85,Strong Clinical
Carnosine,Active,Peer-reviewed,0.8,Strong Clinical
Catalase,Active,Peer-reviewed,0.8,Strong Clinical
Centella Asiatica,Active,4 (Good),,Strong Clinical
Centella Asiatica Extract,Active,Peer-reviewed,0.8,Strong Clinical
Centella Asiatica Leaf Water,Functional,Peer-reviewed,0.4,Strong Clinical
Ceramide AP,Functional,Peer-reviewed,0.85,Strong Clinical
Ceramide EOP,Functional,Peer-reviewed,0.9,Strong Clinical
Ceramide EOS,Active,Strong,0.95,Strong Clinical
Ceramide NP,Barrier,5 (High),,Strong Clinical
Ceramide NS,Functional,Peer-reviewed,0.85,Strong Clinical
Ceramides,Active,,,Strong Clinical
Chamomilla Recutita Extract,Active,Peer-reviewed,0.75,Strong Clinical
Chlorella Vulgaris Extract,Active,Peer-reviewed,0.75,Strong Clinical
Cocamidopropyl,Functional,5 (High),,Strong Clinical
Coenzyme Q10,Active,Peer-reviewed,0.8,Strong Clinical
Colloidal Oatmeal,Active,Peer-reviewed,0.85,Strong Clinical
Copper Tripeptide-1,Active,Peer-reviewed,0.9,Strong Clinical
Crosslinked Hyaluronic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Cysteamine HCl,Active,Peer-reviewed,0.9,Strong Clinical
DNA Repair Enzyme,Active,Peer-reviewed,0.9,Strong Clinical
Dipotassium Glycyrrhizate,Active,Peer-reviewed,0.75,Strong Clinical
Dunaliella Salina Extract,Active,Peer-reviewed,0.8,Strong Clinical
EGCG,Active,Peer-reviewed,0.8,Strong Clinical
Ectoin,Active,Peer-reviewed,0.8,Strong Clinical
Ellagic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Encapsulated Retinol,Active,Peer-reviewed,0.9,Strong Clinical
Encapsulated Salicylic Acid,Active,Peer-reviewed,0.85,Strong Clinical
Endonuclease,Active,Peer-reviewed,0.85,Strong Clinical
Epidermal Lipid Complex,Active,Peer-reviewed,0.95,Strong Clinical
Ergothioneine,Active,Peer-reviewed,0.85,Strong Clinical
Ethyl Ascorbic Acid,Active,,,Strong Clinical
Ethylhexyl Methoxycinnamate,Active,Strong,0.8,Strong Clinical
Ethylhexylglyc.,Functional,5 (High),,Strong Clinical
Ethylhexylglycerin,Functional,Regulatory,0.3,Strong Clinical
Ethylhexylglycerin Carbonate,Functional,Regulatory,0.3,Strong Clinical
Exosome-like Vesicles,Active,Peer-reviewed,0.9,Strong Clinical
Fermented Ceramide NP,Active,Peer-reviewed,0.9,Strong Clinical
Fermented Hyaluronic Acid,Active,Peer-reviewed,0.75,Strong Clinical
Ferulic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Ferulic Acid Ethyl Ester,Active,Peer-reviewed,0.75,Strong Clinical
Fucose-Rich Polysaccharide Complex,Active,Peer-reviewed,0.8,Strong Clinical
Galactomyces Ferment Filtrate,Active,Peer-reviewed,0.8,Strong Clinical
Gluconolactone,Active,Peer-reviewed,0.8,Strong Clinical
Glycerin,Functional,Peer-reviewed,0.65,Strong Clinical
Glycolic Acid,Active,5 (High),,Strong Clinical
Glycyrrhiza Glabra Root Extract,Active,Peer-reviewed,0.8,Strong Clinical
Glycyrrhiza Inflata Root Extract,Active,Peer-reviewed,0.85,Strong Clinical
Granactive Retinoid,Active,Peer-reviewed,0.85,Strong Clinical
Haematococcus Pluvialis Extract,Active,Peer-reviewed,0.9,Strong Clinical
Hesperidin Methyl Chalcone,Active,Peer-reviewed,0.75,Strong Clinical
Hexylresorcinol,Active,Peer-reviewed,0.8,Strong Clinical
Hyaluronic Acid,Humectant,5 (High),,Strong Clinical
Hydrolyzed Hyaluronic Acid,Active,Peer-reviewed,0.7,Strong Clinical
Hydroquinone,Active,5 (High),,Strong Clinical
Hydroxyectoin,Active,Peer-reviewed,0.9,Strong Clinical
Hydroxypinacolone Retinoate,Active,Peer-reviewed,0.85,Strong Clinical
Hydroxypinacolone Retinoate Complex,Active,Strong,0.9,Strong Clinical
Hydroxypropyltrimonium Hyaluronate,Active,Peer-reviewed,0.75,Strong Clinical
Idebenone,Active,Peer-reviewed,0.85,Strong Clinical
Kojic Acid,Active,Peer-reviewed,0.7,Strong Clinical
L-Ascorbic Acid,Active,5 (High),,Strong Clinical
Lactic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Lactobacillus Ferment Lysate,Active,Peer-reviewed,0.8,Strong Clinical
Lactobionic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Lactoferrin,Active,Peer-reviewed,0.75,Strong Clinical
Linoleic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Lipochroman-6,Active,Peer-reviewed,0.85,Strong Clinical
Luceane,Active,5 (High),,Strong Clinical
Lutein,Active,Peer-reviewed,0.75,Strong Clinical
Madecassic Acid,Active,Peer-reviewed,0.85,Strong Clinical
Madecassoside,Active,Peer-reviewed,0.85,Strong Clinical
Madecassoside Asiatica Complex,Active,Strong,0.8,Strong Clinical
Magnesium Ascorbyl Phosphate,Active,Peer-reviewed,0.75,Strong Clinical
Magnesium Ascorbyl Phosphate Phosphate,Active,Peer-reviewed,0.75,Strong Clinical
Mandelic Acid,Active,Peer-reviewed,0.75,Strong Clinical
Marine Bioretinol Complex,Active,Emerging peer-reviewed,0.7,Strong Clinical
Methylparaben,Safety,5 (High),,Strong Clinical
Morus Alba Root Extract,Active,Peer-reviewed,0.8,Strong Clinical
N-Acetyl Glucosamine,Active,Peer-reviewed,0.8,Strong Clinical
Niacinamide,Active,5 (High),,Strong Clinical
Niacinamide Ascorbate,Active,Peer-reviewed,0.75,Strong Clinical
Niacinamide Chloride,Active,Peer-reviewed,0.7,Strong Clinical
Niacinamide Ferulate,Active,Peer-reviewed,0.8,Strong Clinical
Niacinamide Microcapsules,Active,Peer-reviewed,0.8,Strong Clinical
Niacinamide PCA,Active,Peer-reviewed,0.7,Strong Clinical
Niacinamide Polydextrose,Active,Peer-reviewed,0.7,Strong Clinical
Niacinamide Salicylate,Active,Peer-reviewed,0.75,Strong Clinical
Oleanolic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Oligopeptide-1,Active,Peer-reviewed,0.9,Strong Clinical
Oligopeptide-2,Active,Peer-reviewed,0.85,Strong Clinical
Oligopeptide-20,Active,Peer-reviewed,0.85,Strong Clinical
PDRN,Active,Peer-reviewed,0.9,Strong Clinical
Palmitoyl Dipeptide-7,Active,Peer-reviewed,0.75,Strong Clinical
Palmitoyl Pentapeptide,Active,,,Strong Clinical
Palmitoyl Pentapeptide-4,Active,Peer-reviewed,0.85,Strong Clinical
Palmitoyl Tetrapeptide-7,Active,Peer-reviewed,0.8,Strong Clinical
Palmitoyl Tripeptide-1,Active,Peer-reviewed,0.8,Strong Clinical
Panthenol,Humectant,5 (High),,Strong Clinical
Pea Peptide,Active,Peer-reviewed,0.8,Strong Clinical
Petrolatum,Functional,Peer-reviewed,0.9,Strong Clinical
Phenylethyl Resorcinol,Active,Peer-reviewed,0.85,Strong Clinical
Photolyase,Active,Peer-reviewed,0.9,Strong Clinical
Phytosphingosine,Active,Peer-reviewed,0.9,Strong Clinical
Phytosterols,Active,Peer-reviewed,0.85,Strong Clinical
Pickmulse™,Functional,5 (High),,Strong Clinical
Polydeoxyribonucleotide Sodium,Active,Peer-reviewed,0.9,Strong Clinical
Polyhydroxy Acid Blend,Active,Peer-reviewed,0.8,Strong Clinical
Polypodium Leucotomos Extract,Active,Peer-reviewed,0.8,Strong Clinical
Postbiotic Lactobacillus Metabolite,Active,Peer-reviewed,0.75,Strong Clinical
Postbiotic Peptide Complex,Active,Peer-reviewed,0.8,Strong Clinical
Pseudoalteromonas Ferment Extract,Active,Peer-reviewed,0.85,Strong Clinical
Punica Granatum Extract,Active,Peer-reviewed,0.8,Strong Clinical
Pyruvic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Quercetin,Active,Peer-reviewed,0.8,Strong Clinical
Resveratrol,Active,Peer-reviewed,0.75,Strong Clinical
Retinal,Active,Peer-reviewed,0.95,Strong Clinical
Retinaldehyde,Active,4 (Good),,Strong Clinical
Retinol,Active,5 (High),,Strong Clinical
Retinyl Retinoate,Active,Peer-reviewed,0.95,Strong Clinical
Retinyl Retinoate Encapsulated,Active,Peer-reviewed,0.9,Strong Clinical
Rosemary Ext,Active,5 (High),,Strong Clinical
Rosmarinic Acid,Active,Peer-reviewed,0.8,Strong Clinical
Rosmarinus Officinalis Leaf Extract,Active,Peer-reviewed,0.75,Strong Clinical
Saccharide Isom.,Humectant,5 (High),,Strong Clinical
Saccharide Isomerate,Active,Peer-reviewed,0.75,Strong Clinical
Saccharomyces Ferment Filtrate,Active,Peer-reviewed,0.75,Strong Clinical
Salicylic Acid,Active,5 (High),,Strong Clinical
Salix Alba Bark Extract,Active,Peer-reviewed,0.75,Strong Clinical
Salmon DNA Fragment,Active,Peer-reviewed,0.85,Strong Clinical
Scutellaria Baicalensis Root Extract,Active,Peer-reviewed,0.8,Strong Clinical
Sh-Oligopeptide-1,Active,Peer-reviewed,0.9,Strong Clinical
Sh-Polypeptide-11,Active,Peer-reviewed,0.85,Strong Clinical
Sodium Acetylated Hyaluronate,Active,Peer-reviewed,0.8,Strong Clinical
Sodium Ascorbyl Phosphate,Active,Peer-reviewed,0.8,Strong Clinical
Sodium Ascorbyl Phosphate Chloride,Active,Peer-reviewed,0.75,Strong Clinical
Sodium Carboxymethyl Beta-Glucan,Active,Peer-reviewed,0.8,Strong Clinical
Sodium DNA,Active,Peer-reviewed,0.8,Strong Clinical
Sodium Hyaluronate Crosspolymer,Active,Peer-reviewed,0.75,Strong Clinical
Sodium Laureth,Functional,5 (High),,Strong Clinical
Sodium Retinoyl Hyaluronate,Active,Peer-reviewed,0.85,Strong Clinical
Spirulina Platensis Extract,Active,Peer-reviewed,0.75,Strong Clinical
Stem Cell Conditioned Media,Active,Peer-reviewed,0.75,Strong Clinical
Stigmasterol,Active,Peer-reviewed,0.75,Strong Clinical
Superoxide Dismutase,Active,Peer-reviewed,0.85,Strong Clinical
Thiamidol,Active,Peer-reviewed,0.9,Strong Clinical
Titanium Diox,Active,5 (High),,Strong Clinical
Titanium Dioxide,Active,Peer-reviewed,1.0,Strong Clinical
Tocopherol,Active,Peer-reviewed,0.65,Strong Clinical
Tranexamic Acid,Active,Peer-reviewed,0.85,Strong Clinical
Tranexamic Acid Cetyl Ester,Active,Peer-reviewed,0.75,Strong Clinical
Tranexamic Acid Cetyl Phosphate,Active,Strong,0.9,Strong Clinical
Tranexamic Acid Liposome,Active,Peer-reviewed,0.85,Strong Clinical
Tranexamic Acid Polymer,Active,Limited,0.85,Strong Clinical
Tranexamic Acid Stearate,Active,Moderate,0.85,Strong Clinical
Trehalose Liposomes,Active,Peer-reviewed,0.75,Strong Clinical
Tripeptide-1,Active,Peer-reviewed,0.85,Strong Clinical
Ubiquinol,Active,Peer-reviewed,0.85,Strong Clinical
Undecylenoyl Glycine,Active,Peer-reviewed,0.75,Strong Clinical
Urea,Functional,Peer-reviewed,0.75,Strong Clinical
Ursolic Acid,Active,Peer-reviewed,0.75,Strong Clinical
Vaccinium Myrtillus Fruit Extract,Active,Peer-reviewed,0.75,Strong Clinical
Vitis Vinifera Fruit Extract,Active,Peer-reviewed,0.75,Strong Clinical
Zeaxanthin,Active,Peer-reviewed,0.75,Strong Clinical
Zinc Gluconate,Active,Peer-reviewed,0.75,Strong Clinical
Zinc Oxide,Active,Peer-reviewed,1.0,Strong Clinical
Zinc Salicylate,Active,Peer-reviewed,0.75,Strong Clinical
