INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Inulin,Chicory inulin; Fructooligosaccharide polymer,Active,Prebiotic humectant,0.5,2.0,5.0,Microbiome support; Hydration; Prebiotic action,Prebiotic action,Sensitive Skin; Hydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Ferments,,Emerging data,Limited,0.4,0.24,,,,Moderate,7.0,4.0,Low,Humectant,Prebiotic action,Water,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Alpha-Glucan Oligosaccharide,Prebiotic sugar,Active,Microbiome support,0.5,2.0,5.0,Barrier Support; Microbiome support; Selective microbial feeding,Selective microbial feeding,Barrier Repair; Sensitive Skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.65,Lactobacillus Ferment,,,Limited,0.4,0.26,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Selective microbial feeding,Water,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Fructooligosaccharides,FOS,Active,Prebiotic,0.5,2.0,5.0,Microbiome balance; Prebiotic; Prebiotic nutrition,Prebiotic nutrition,Sensitive Skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Ferments,,,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Prebiotic nutrition,Water,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 3: Bioactive Base,0.5
Betaine Salicylate,Betaine + Salicylate,Active,Gentle exfoliant,0.5,2.0,5.0,Anti-acne; Gentle exfoliant; Mild keratolysis,Mild keratolysis,Acne & Oily Skin,4.0-6.0,Stable,Low,1.0,Safe,Limited,4-6 weeks,0.7,Niacinamide,Retinoids,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Exfoliant,Mild keratolysis,Both,Wash-off,,,,Mid (4-8w),4-6 weeks,,Tier 2: Secondary Active,0.8
Gluconic Acid,D-Gluconic acid; Dextronic acid,Active,Chelating exfoliant,1.0,3.0,6.0,Exfoliation / Texture; Chelating exfoliant; Metal chelation,Metal chelation,Sensitive Skin; Uneven Texture,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Polyhydroxy Acids,Strong acids,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Exfoliant,Metal chelation,Both,Leave-on,3.6,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Malic Acid,AHA,Active,Exfoliant,3.0,5.0,10.0,Exfoliation / Texture; Exfoliant; Keratolysis,Keratolysis,Dullness; Uneven Texture,3.5-4.5,Stable,Moderate,1.0,Safe,Limited,4-8 weeks,0.65,Lactic Acid,Avoid on compromised barrier; do not use with other strong exfoliants,Irritation risk at high %; photosensitivity; avoid on broken skin,Limited,0.4,0.26,,,,Moderate,4.0,4.0,Medium,Exfoliant,Keratolysis,Both,Leave-on,3.4,-1.26,134.09,Mid (4-8w),4-8 weeks,,Tier 1: Primary Active,1.0
Tartaric Acid,AHA,Active,pH adjuster; Exfoliant,1.0,3.0,10.0,Exfoliation / Texture; pH adjuster; Exfoliant; Chelation,Chelation,Dullness; Uneven Texture,3.0-4.0,Stable,Moderate,1.0,Safe,Limited,4-8 weeks,0.6,Lactic Acid; Glycolic Acid,Avoid on compromised barrier; avoid combining with strong AHAs,Moderate irritation potential at high %; photosensitivity risk,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Medium,Exfoliant,Chelation,Both,Leave-on,2.98,-1.39,150.09,Mid (4-8w),4-8 weeks,,Tier 1: Primary Active,1.0
Citramalic Acid,2-Methylmalic acid; Citromalic acid,Active,Exfoliant,1.0,3.0,8.0,Exfoliation / Texture; Exfoliant; Keratolysis,Keratolysis,Sensitive Skin; Uneven Texture,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.6,Polyhydroxy Acids,Strong acids,Emerging data,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Low,Exfoliant,Keratolysis,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Pyruvic Acid,2-Oxopropanoic acid; alpha-Ketopropionic acid,Active,Exfoliant,2.0,5.0,10.0,Anti-acne; Exfoliant,Sebum solubilization,Uneven Texture; Acne & Oily Skin,2.5-3.5,Unstable,High,1.0,Avoid pregnancy - consult physician,Limited,4-8 weeks,0.8,Salicylic Acid,Retinoids,Irritation risk,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,High,Exfoliant,Sebum solubilization,Both,Leave-on,2.5,-0.24,88.06,Mid (4-8w),4-8 weeks,,Tier 1: Primary Active,1.0
Azelaic Acid Potassium Salt,Potassium Azelate,Active,Sebum control,3.0,5.0,10.0,Oil balance; Anti-acne; Azelaic derivative action,Azelaic derivative action,Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.7,Niacinamide,,Limited adoption,Limited,0.4,0.28,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Azelaic derivative action,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Ferulic Acid Ethyl Ester,Ethyl Ferulate,Active,Antioxidant,0.3,1.0,3.0,Photoprotection; Antioxidant,Enhanced lipid solubility antioxidant,Aging & Fine Lines; UV Damage,4.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Vitamin C derivatives,,Emerging use,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Enhanced lipid solubility antioxidant,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Carnosine,beta-Alanyl-L-histidine,Active,Anti-glycation,0.1,0.5,2.0,Anti-aging; Anti-glycation; Glycation inhibition,Glycation inhibition,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Glycation inhibition,Both,Leave-on,,,,Long (8w+),6-12 weeks,,Tier 2: Secondary Active,0.8
Ergothioneine,L-Ergothioneine; 2-Thiohistidine betaine,Active,Antioxidant,0.01,0.1,0.5,Cell protection; Antioxidant; Mitochondrial protection,Mitochondrial protection,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Vitamin C; E,,Premium pricing,Moderate,0.7,0.595,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Mitochondrial protection,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Lutein,"beta,epsilon-Carotene-3,3'-diol; Xanthophyll",Active,Antioxidant,0.05,0.2,1.0,Blue-light defense; Antioxidant; Carotenoid quenching,Carotenoid quenching,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Zeaxanthin,,Coloring effect,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Carotenoid quenching,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Zeaxanthin,"beta,beta-Carotene-3,3'-diol",Active,Antioxidant,0.05,0.2,1.0,Blue-light defense; Antioxidant; Carotenoid quenching,Carotenoid quenching,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.75,Lutein,,Coloring effect,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Carotenoid quenching,Oil,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Baicalin,Baicalein-7-O-glucuronide,Active,Anti-inflammatory,0.1,0.5,2.0,Soothing; NF-kB modulation,NF-kB modulation,Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Centella Extract,,,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,NF-kB modulation,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Baicalein,"5,6,7-Trihydroxyflavone",Active,Antioxidant,0.05,0.2,1.0,Anti-aging; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Ferulic Acid,,,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Free radical scavenging,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Madecassic Acid,"2alpha,3beta,6beta,23-Tetrahydroxyurs-12-en-28-oic acid",Active,Barrier repair,0.05,0.2,1.0,Soothing; Barrier Support; Centella triterpenoid,Centella triterpenoid,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Centella triterpenoid,Both,Leave-on,,,,Short (1-4w),2-6 weeks,,Tier 2: Secondary Active,0.8
Asiatic Acid,"2alpha,3beta,23-Trihydroxyurs-12-en-28-oic acid",Active,Repair,0.05,0.2,1.0,Wound healing; Barrier Support; Collagen modulation,Collagen modulation,Acne & Oily Skin; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Panthenol,,,Limited,0.4,0.34,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Collagen modulation,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Hesperidin Methyl Chalcone,HMC,Active,Vascular support,0.1,0.5,2.0,Dark circle reduction; Vascular support; Capillary strengthening,Capillary strengthening,Dark Circles,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Caffeine,,,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Capillary strengthening,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Diosmin,"Quercetin-7-rutinoside; 3',5,7-Trihydroxy-4'-methoxyflavone-7-rutinoside",Active,Vascular support,0.1,0.5,2.0,Dark circle reduction; Vascular support; Venotonic action,Venotonic action,Dark Circles,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Hesperidin,,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Venotonic action,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Niacinamide Chloride,Niacinamide salt,Active,Barrier repair,1.0,3.0,5.0,Barrier Support; Ceramide synthesis,Ceramide synthesis,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,Limited adoption,Limited,0.4,0.28,,,,Limited clinical evidence,8.0,4.0,Low,Skin Conditioning,Ceramide synthesis,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Adenosine,9-beta-D-Ribofuranosyladenine; Adenine riboside,Active,Anti-wrinkle,0.1,0.3,1.0,Anti-aging; A2A receptor activation,A2A receptor activation,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,A2A receptor activation,Water,Leave-on,,-1.05,267.24,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Proline,L-Proline; (S)-Pyrrolidine-2-carboxylic acid,Active,Barrier repair,0.1,0.5,2.0,Skin resilience; Barrier Support; Collagen precursor,Collagen precursor,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Glycine,,,Limited,0.4,0.28,,,,Moderate,8.0,4.0,Low,Skin Conditioning,Collagen precursor,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Glycine,Aminoacetic acid; Glycocoll,Active,Barrier repair,0.1,0.5,2.0,Skin conditioning; Barrier Support; NMF amino acid,NMF amino acid,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Proline,,,Limited,0.4,0.24,,,,Moderate,8.0,4.0,Low,Skin Conditioning,NMF amino acid,Both,Leave-on,,,,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Arginine,L-Arginine,Active,pH buffering; Repair,0.1,0.5,2.0,Barrier Support; pH buffering; NO signaling,NO signaling,Barrier Repair,5.0-7.5,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.7,Panthenol,,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,NO signaling,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Histidine,L-Histidine; (S)-2-Amino-3-(1H-imidazol-4-yl)propanoic acid,Active,Antioxidant,0.05,0.3,1.0,Barrier Support; Antioxidant; Metal chelation,Metal chelation,Barrier Repair; Sensitive Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Moderate,2-4 weeks,0.65,Zinc PCA,,,Moderate,0.7,0.455,,,,Moderate,5.0,6.0,Low,Antioxidant,Metal chelation,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Serine,L-Serine; (S)-2-Amino-3-hydroxypropanoic acid,Active,Humectant,0.1,0.5,2.0,Hydration; NMF amino acid,NMF amino acid,Hydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,,Moderate,7.0,4.0,Low,Humectant,NMF amino acid,Both,Leave-on,,,,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Alanine,L-Alanine; (S)-2-Aminopropanoic acid,Active,Conditioning,0.1,0.5,2.0,Skin softness; Conditioning; NMF amino acid,NMF amino acid,Hydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.55,Serine,,,Limited,0.4,0.22,,,,Moderate,4.0,4.0,Low,Skin Conditioning,NMF amino acid,Both,Leave-on,,,,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Valine,L-Valine; (S)-2-Amino-3-methylbutanoic acid,Active,Barrier repair,0.05,0.3,1.0,Skin resilience; Barrier Support; Amino acid metabolism,Amino acid metabolism,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Leucine,,,Limited,0.4,0.24,,,,Moderate,8.0,4.0,Low,Skin Conditioning,Amino acid metabolism,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Leucine,L-Leucine; (S)-2-Amino-4-methylpentanoic acid,Active,Barrier repair,0.05,0.3,1.0,Skin resilience; Barrier Support; Protein synthesis,Protein synthesis,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Valine,,,Limited,0.4,0.24,,,,Moderate,8.0,4.0,Low,Skin Conditioning,Protein synthesis,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Isoleucine,"L-Isoleucine; (2S,3R)-2-Amino-3-methylpentanoic acid",Active,Barrier repair,0.05,0.3,1.0,Skin conditioning; Barrier Support; Protein synthesis,Protein synthesis,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Leucine,,,Limited,0.4,0.24,,,,Moderate,8.0,4.0,Low,Skin Conditioning,Protein synthesis,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Phenylalanine,L-Phenylalanine; (S)-2-Amino-3-phenylpropanoic acid,Active,Barrier repair,0.05,0.3,1.0,Skin conditioning; Barrier Support; Protein synthesis,Protein synthesis,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.6,Tyrosine,,,Limited,0.4,0.24,,,,Moderate,8.0,4.0,Low,Skin Conditioning,Protein synthesis,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Tyrosine,L-Tyrosine; 4-Hydroxyphenylalanine,Active,Pigment modulation,0.05,0.3,1.0,Brightening; Melanin pathway modulation,Melanin pathway modulation,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.65,Vitamin C,,Indirect effect,Limited,0.4,0.26,,,,Moderate,4.0,4.0,Low,Colorant,Melanin pathway modulation,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Methionine,L-Methionine; (S)-2-Amino-4-(methylthio)butanoic acid,Active,Antioxidant support,0.05,0.3,1.0,Barrier Support; Antioxidant; Sulfur amino acid,Sulfur amino acid,Barrier Repair; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Moderate,2-4 weeks,0.6,Cysteine,,,Moderate,0.7,0.42,,,,Moderate,5.0,6.0,Low,Antioxidant,Sulfur amino acid,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Cysteine,L-Cysteine; (R)-2-Amino-3-mercaptopropanoic acid,Active,Antioxidant precursor,0.05,0.3,1.0,Barrier Support; Antioxidant; Glutathione precursor,Glutathione precursor,Barrier Repair; UV Damage; Aging & Fine Lines,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,2-4 weeks,0.65,Vitamin C,,Stability dependent,Moderate,0.7,0.455,,,,Moderate,5.0,6.0,Low,Antioxidant,Glutathione precursor,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
Taurine,2-Aminoethanesulfonic acid,Active,Osmoprotection,0.1,0.5,2.0,Hydration; Osmoprotection; Cell volume regulation,Cell volume regulation,Hydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Betaine,,,Limited,0.4,0.24,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Cell volume regulation,Both,Leave-on,,,,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Carnitine,L-Carnitine,Active,Sebum regulation,0.1,0.5,2.0,Oil Control; Anti-acne; Fatty acid transport,Fatty acid transport,Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.7,Niacinamide,,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Fatty acid transport,Both,Leave-on,,,,Mid (4-8w),4-6 weeks,,Tier 2: Secondary Active,0.8
Creatine,N-Amidinosarcosine; N-(Aminoiminomethyl)-N-methylglycine,Active,Cell energy support,0.1,0.5,2.0,Skin vitality; Cell energy support; ATP regeneration,ATP regeneration,Aging & Fine Lines,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,CoQ10,,,Limited,0.4,0.28,,,,Moderate,4.0,4.0,Low,Skin Conditioning,ATP regeneration,Both,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Ubiquinol,Reduced CoQ10,Active,Antioxidant,0.05,0.3,1.0,Anti-aging; Antioxidant; Enhanced mitochondrial protection,Enhanced mitochondrial protection,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,6-10 weeks,0.85,Vitamin E,,Oxidation risk,Moderate,0.7,0.595,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Enhanced mitochondrial protection,Oil,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Sodium Ascorbyl Phosphate Chloride,SAP salt variant,Active,Brightening; Anti-acne,1.0,3.0,5.0,Anti-acne; Brightening; Antimicrobial action,Antimicrobial action,Acne & Oily Skin; Pigmentation; Dullness,6.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.75,Zinc PCA,Low pH acids,Limited adoption,Limited,0.4,0.3,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Antimicrobial action,Water,Leave-on,,,,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Ascorbyl Tetraisopalmitate,Lipid-soluble Vitamin C,Active,Brightening; Antioxidant,1.0,3.0,5.0,Brightening; Antioxidant,Lipid-phase antioxidant,Pigmentation; Aging & Fine Lines; Dullness; UV Damage,5.0-7.0,Highly stable,Low,1.0,Safe,Moderate,8-12 weeks,0.8,Vitamin E,,Slow results,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Lipid-phase antioxidant,Both,Leave-on,,,,Long (8w+),8-12 weeks,,Tier 2: Secondary Active,0.8
Hydroxyacetophenone,p-Hydroxyacetophenone,Functional,Antioxidant; Preservative booster,0.1,0.5,1.0,Formula stabilization; Antioxidant; Preservative booster,Free radical scavenging,UV Damage; Aging & Fine Lines,4.0-8.0,Highly stable,Low,0.0,Safe,Moderate,N/A - Functional/Excipient,0.35,Phenoxyethanol,,,Moderate,0.7,0.245,,,,Moderate,5.0,6.0,Low,Preservative,Free radical scavenging,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Ethylhexylglycerin Carbonate,Ethylhexylglycerin derivative,Functional,Preservative booster,0.1,0.3,0.5,Preservation enhancement; Preservative booster; Membrane destabilization,Membrane destabilization,None (functional/excipient ingredient),4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,,Strong Clinical,2.0,4.0,Low,Preservative,Membrane destabilization,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Caprylyl Glycol,"1,2-Octanediol",Functional,Humectant; Preservative booster,0.3,1.0,3.0,Microbial control; Hydration; Preservative booster; Cell membrane disruption,Cell membrane disruption,Hydration,4.0-8.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.4,Phenoxyethanol,,,Limited,0.4,0.16,,,,Moderate,7.0,4.0,Low,Preservative,Cell membrane disruption,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Pentylene Glycol,"1,2-Pentanediol",Functional,Humectant; Solvent,1.0,5.0,20.0,Hydration; Solvent; Solvent action,Solvent action,Hydration,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.45,Glycerin,,,Limited,0.4,0.18,,,,Moderate,7.0,4.0,Low,Humectant,Solvent action,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Hydroxypropyl Cyclodextrin,Cyclodextrin derivative,Functional,Stabilizer,0.1,0.5,2.0,Active stabilization; Stabilizer; Molecular encapsulation,Molecular encapsulation,None (functional/excipient ingredient),4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.35,Unstable actives,,Encapsulation-only role,Limited,0.4,0.14,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Molecular encapsulation,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Cyclodextrin,alpha-Cyclodextrin; Cycloamylose,Functional,Encapsulating agent,0.1,0.5,2.0,Active protection; Encapsulating agent; Inclusion complex,Inclusion complex,,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.4,Retinoids; Fragrance,,,Limited,0.4,0.16,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Inclusion complex,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Hydroxypropyl Starch Phosphate,Modified starch,Functional,Thickener,0.5,2.0,5.0,Texture enhancement; Thickener; Starch swelling,Starch swelling,Uneven Texture,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.25,Silica,,,Limited,0.4,0.1,,,,Moderate,4.0,4.0,Low,Thickener,Starch swelling,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Aluminum Starch Octenylsuccinate,Oil absorbent starch,Functional,Oil control,1.0,5.0,15.0,Mattifying; Oil control; Anti-acne,Sebum absorption,Acne & Oily Skin,4.0-8.0,Stable,Low,1.0,Safe,Limited,N/A - Functional/Excipient,0.3,Silica,,White cast risk,Limited,0.4,0.12,,,,Moderate,4.0,4.0,Low,Skin Conditioning,Sebum absorption,Oil,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Polyurethane-35,Film former polymer,Functional,Film former,0.5,2.0,5.0,Long-wear; Film former; Flexible polymer film,Flexible polymer film,,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.35,Silicones,,Cosmetic-only,Limited,0.4,0.14,,,,Moderate,4.0,4.0,Low,Film Former,Flexible polymer film,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
VP/VA Copolymer,Vinyl polymer,Functional,Film former,0.5,3.0,10.0,Hold; Film former; Polymer network,Polymer network,,4.0-8.0,Stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.25,Plasticizers,,Dry feel,Limited,0.4,0.1,,,,Moderate,4.0,4.0,Low,Film Former,Polymer network,Both,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Sodium Chloride,Salt,Functional,Viscosity adjuster,0.1,1.0,5.0,Texture enhancement; Viscosity adjuster; Ionic thickening,Ionic thickening,Uneven Texture,4.0-8.0,Highly stable,Low,0.0,Safe,Limited,N/A - Functional/Excipient,0.05,Surfactants,,Drying in leave-on,Limited,0.4,0.02,,,,Moderate,4.0,4.0,Low,Thickener,Ionic thickening,Water,Leave-on,,,,N/A,Excipient/functional ingredient; no direct therapeutic timeline,,Tier 4: Inert Functional,0.1
Calcium PCA,Calcium salt of PCA,Active,Hydration; Barrier support,0.1,0.5,2.0,Barrier Support; Hydration; NMF mineral support,NMF mineral support,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.65,Sodium PCA,,,Limited,0.4,0.26,,,,Moderate,8.0,4.0,Low,Skin Conditioning,NMF mineral support,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
