INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Potassium Benzoate,Benzoic acid potassium salt,Functional,Preservative,0.1,0.3,0.5,Preservation,pH-dependent antimicrobial,Product safety,4.5-5.5,pH dependent,Low,0.0,Safe,Limited,—,0.25,Sodium Benzoate,High pH formulas,,Limited,0.4,0.1,,,
Sodium Dehydroacetate,Dehydroacetic acid sodium salt,Functional,Preservative,0.3,0.6,1,Preservation,Fungal inhibition,Product safety,4.0-6.0,Stable,Low,0.0,Safe limits,Limited,—,0.3,Benzyl Alcohol,High pH formulas,,Limited,0.4,0.12,,,
Undecylenoyl Glycine,Sebum regulator,Active,Anti-acne,0.5,2,5,Oil control,Sebum normalization,Acne,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,
Oleanolic Acid,Oleanolic acid,Active,Sebum regulation,0.1,0.3,1,Oil control,5α-reductase inhibition,Acne;Oily skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,
Nordihydroguaiaretic Acid,NDGA,Active,Antioxidant,0.05,0.1,0.3,Anti-inflammatory,Lipoxygenase inhibition,Inflammation,5.0-7.0,Stable,Medium,1.0,Restricted use,Moderate,4-8 weeks,0.6,Vitamin E,,Safety scrutiny,Moderate,0.7,0.42,,,
Apigenin,Apigenin,Active,Soothing;Antioxidant,0.05,0.2,1,Calming,NF-κB inhibition,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Moderate,2-4 weeks,0.75,Niacinamide,,,Moderate,0.7,0.5249999999999999,,,
Quercetin,Quercetin,Active,Antioxidant,0.05,0.2,1,Anti-aging,Free radical scavenging,Photoaging,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Vitamin C,,Stability dependent,Moderate,0.7,0.5599999999999999,,,
Rutin,Rutin,Active,Capillary support,0.1,0.5,2,Redness reduction,Vascular strengthening,Rosacea,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Vitamin C,,,Limited,0.4,0.28,,,
Ellagic Acid,Ellagic acid,Active,Brightening;Antioxidant,0.05,0.2,1,Pigmentation control,Tyrosinase inhibition,PIH;Melasma,4.5-6.5,Light sensitive,Low,0.0,Safe,Moderate,6-10 weeks,0.8,Vitamin C,,Low solubility,Moderate,0.7,0.5599999999999999,,,
Feruloyl Soy Glycerides,Feruloyl soy glycerides,Active,Antioxidant,0.5,1,3,Photoprotection,Ferulic derivative action,Photoaging,4.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Vitamin C derivatives,,Limited adoption,Moderate,0.7,0.4899999999999999,,,
Syringic Acid,Syringic acid,Active,Antioxidant,0.05,0.2,1,Anti-aging,Phenolic scavenging,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Ferulic Acid,,Emerging data,Moderate,0.7,0.4899999999999999,,,
Vanillic Acid,Vanillic acid,Active,Antioxidant,0.05,0.2,1,Skin protection,Phenolic antioxidant,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.65,Vitamin E,,Emerging data,Moderate,0.7,0.455,,,
Sinapic Acid,Sinapic acid,Active,Antioxidant,0.05,0.2,1,Photoprotection,Phenolic radical scavenging,Photoaging,5.0-7.0,Stable,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Ferulic Acid,,Emerging data,Moderate,0.7,0.4899999999999999,,,
Caffeic Acid,Caffeic acid,Active,Antioxidant,0.05,0.2,1,UV defense support,ROS scavenging,Photoaging,4.5-6.5,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Vitamin C,,Stability dependent,Moderate,0.7,0.4899999999999999,,,
Chlorogenic Acid,Chlorogenic acid,Active,Antioxidant,0.05,0.2,1,Anti-aging,Polyphenol antioxidant,Photoaging,4.5-6.5,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.7,Caffeine,,,Moderate,0.7,0.4899999999999999,,,
Rosmarinic Acid,Rosmarinic acid,Active,Soothing;Antioxidant,0.05,0.3,1,Redness reduction,Anti-inflammatory polyphenol,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Moderate,2-4 weeks,0.8,Centella Extract,,,Moderate,0.7,0.5599999999999999,,,
Ursolic Acid,Ursolic acid,Active,Anti-aging,0.05,0.2,1,Firming,Collagen synthesis stimulation,Aging,5.0-7.0,Low solubility,Medium,1.0,Safe,Limited,6-10 weeks,0.75,Niacinamide,,Formulation difficulty,Limited,0.4,0.3,,,
Maslinic Acid,Maslinic acid,Active,Anti-inflammatory,0.05,0.2,1,Calming,NF-κB modulation,Sensitive skin,5.0-7.0,Low solubility,Low,0.0,Safe,Limited,4-8 weeks,0.7,Centella Extract,,Emerging data,Limited,0.4,0.28,,,
Beta-Sitosterol,Beta-sitosterol,Active,Barrier repair,0.1,0.5,2,Barrier strengthening,Plant sterol lipid support,Barrier damage,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Campesterol,Campesterol,Active,Barrier support,0.1,0.5,2,Barrier repair,Plant sterol action,Barrier damage,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,
Stigmasterol,Stigmasterol,Active,Barrier lipid,0.1,0.5,2,Barrier reinforcement,Plant sterol integration,Barrier damage,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,
Ergosterol,Ergosterol,Active,Barrier lipid precursor,0.05,0.2,1,Barrier support,Sterol lipid role,Barrier damage,5.0-7.0,Light sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,
Phytosterols,Plant sterol complex,Active,Barrier repair,0.1,1,3,Barrier strengthening,Lipid matrix reinforcement,Barrier damage,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.85,Ceramides;Cholesterol,,,Limited,0.4,0.34,,,
Squalene,Squalene,Functional,Emollient,0.5,2,10,Skin softening,Lipid replenishment,Dry skin,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,1-3 weeks,0.6,Antioxidants,,Oxidation risk,Limited,0.4,0.24,,,
Isostearyl Isostearate,Isostearyl isostearate,Functional,Emollient,1,5,15,Barrier softening,Occlusive emolliency,Dry skin,4.0-8.0,Highly stable,Low,2.0,Safe,Limited,2-4 weeks,0.55,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.22,,,
C12-15 Alkyl Benzoate,Alkyl benzoate ester,Functional,Emollient;UV solvent,1,5,15,Light emolliency,Ester spreading,Sunscreens,4.0-8.0,Highly stable,Low,2.0,Safe,Limited,—,0.6,UV filters,,,Limited,0.4,0.24,,,
Diisopropyl Sebacate,Sebacate ester,Functional,Emollient,1,5,15,Silky feel,Light ester emolliency,All skin types,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.55,Silicones,,,Limited,0.4,0.22,,,
Neopentyl Glycol Diheptanoate,Ester emollient,Functional,Emollient,1,5,15,Dry-touch emolliency,Fast-spreading ester,Oily skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.6,Silicones,,,Limited,0.4,0.24,,,
Dicaprylyl Carbonate,Carbonate ester,Functional,Light emollient,1,5,15,Dry-skin feel,Fast spreading ester,Oily skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.65,Silicones,,,Limited,0.4,0.26,,,
Isoamyl Laurate,Laurate ester,Functional,Light emollient,1,5,15,Natural silicone feel,Biodegradable ester,Oily skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.6,Plant oils,,,Limited,0.4,0.24,,,
Coco-Caprylate/Caprate,Ester blend,Functional,Silicone alternative emollient,1,5,15,Silky slip,Ester emolliency,All skin types,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.65,Plant oils,,,Limited,0.4,0.26,,,
Hydrogenated Polyisobutene,Synthetic oil,Functional,Emollient,1,5,20,Barrier occlusion,Hydrocarbon emolliency,Dry skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.6,Occlusives,,Petroleum perception,Limited,0.4,0.24,,,
Polyisobutene,Polyisobutene,Functional,Emollient,1,5,20,Barrier softening,Hydrocarbon occlusion,Dry skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,—,0.6,Occlusives,,Petroleum perception,Limited,0.4,0.24,,,
Mineral Oil,Paraffinum Liquidum,Functional,Occlusive emollient,5,30,100,Barrier repair,TEWL reduction,Severely dry skin,3.0-10.0,Extremely stable,Low,0.0,Safe cosmetic grade,Limited,Immediate,0.9,Humectants,,Consumer stigma,Limited,0.4,0.36,,,
Microcrystalline Wax,Cera Microcristallina,Functional,Occlusive,1,10,50,Barrier protection,Film formation,Dry skin,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.7,Petrolatum,,Heavy feel,Limited,0.4,0.28,,,
Ceresin,Ceresin wax,Functional,Structurant;Occlusive,1,5,20,Texture stabilization,Wax structuring,Stick products,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.65,Waxes,,,Limited,0.4,0.26,,,
Ozokerite,Ozokerite wax,Functional,Structurant;Occlusive,1,5,20,Texture stability,Wax network,Stick products,3.0-10.0,Extremely stable,Low,0.0,Safe,Limited,—,0.65,Waxes,,,Limited,0.4,0.26,,,
Beeswax,Cera Alba,Functional,Occlusive;Structurant,1,5,20,Barrier protection,Film formation,Dry skin,3.0-10.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.6,Oils,,Heavy feel,Limited,0.4,0.24,,,
Candelilla Wax,Euphorbia Cerifera Wax,Functional,Structurant,1,5,20,Texture stability,Wax film,Lip products,3.0-10.0,Stable,Low,1.0,Safe,Limited,—,0.6,Oils,,,Limited,0.4,0.24,,,
Carnauba Wax,Copernicia Cerifera Wax,Functional,Structurant,0.5,3,15,Hardness,High-melting wax,Stick products,3.0-10.0,Stable,Low,1.0,Safe,Limited,—,0.55,Waxes,,Brittle feel,Limited,0.4,0.22,,,
Hydrogenated Vegetable Oil,Hydrogenated plant oil,Functional,Occlusive,1,5,20,Barrier softening,Hydrogenated lipids,Dry skin,4.0-8.0,Highly stable,Low,2.0,Safe,Limited,—,0.6,Plant oils,,Comedogenic risk,Limited,0.4,0.24,,,
Shea Olein,Butyrospermum Parkii Oil,Functional,Emollient,1,5,20,Barrier softening,Triglyceride lipid replenishment,Dry skin,4.0-8.0,Oxidation sensitive,Low,2.0,Safe,Limited,2-4 weeks,0.6,Ceramides,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,
Jojoba Oil,Simmondsia Chinensis Seed Oil,Functional,Emollient;Sebum-mimetic,1,5,20,Barrier balance,Wax ester mimicry,Oily;Dry skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Niacinamide,,,Limited,0.4,0.28,,,
Argan Oil,Argania Spinosa Kernel Oil,Functional,Emollient;Antioxidant,1,5,20,Barrier nourishment,Tocopherol content,Dry skin,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Moderate,2-4 weeks,0.65,Vitamin E,,Oxidation risk,Moderate,0.7,0.455,,,
Sunflower Seed Oil,Helianthus Annuus Seed Oil,Functional,Barrier repair oil,1,5,20,Barrier strengthening,Linoleic acid supply,Barrier damage,4.0-8.0,Oxidation sensitive,Low,0.0,Safe,Limited,2-4 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,
Safflower Oil,Carthamus Tinctorius Seed Oil,Functional,Emollient,1,5,20,Barrier support,Linoleic-rich oil,Acne-prone,4.0-8.0,Oxidation sensitive,Low,0.0,Safe,Limited,2-4 weeks,0.7,Niacinamide,,,Limited,0.4,0.28,,,
Rosehip Seed Oil,Rosa Canina Seed Oil,Functional,Regenerative oil,0.5,3,15,Scar support,Trans-retinoic acid traces,Post-acne,4.0-8.0,Highly oxidation sensitive,Low,1.0,Avoid pregnancy caution,Limited,4-8 weeks,0.75,Vitamin E,,Stability issues,Limited,0.4,0.3,,,
Evening Primrose Oil,Oenothera Biennis Oil,Functional,Barrier repair oil,0.5,3,15,Barrier strengthening,GLA supply,Eczema-prone,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,Oxidation risk,Limited,0.4,0.28,,,
Borage Seed Oil,Borago Officinalis Seed Oil,Functional,Barrier repair oil,0.5,3,15,Barrier repair,GLA-rich oil,Barrier damage,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.75,Ceramides,,Oxidation risk,Limited,0.4,0.3,,,
Camellia Seed Oil,Camellia Japonica Seed Oil,Functional,Light emollient,1,5,20,Skin softening,Oleic-rich lipid,Dry skin,4.0-8.0,Stable,Low,1.0,Safe,Limited,2-4 weeks,0.65,Squalane,,,Limited,0.4,0.26,,,
Grapeseed Oil,Vitis Vinifera Seed Oil,Functional,Light emollient,1,5,20,Antioxidant nourishment,Polyphenols,Oily skin,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,2-4 weeks,0.6,Vitamin E,,Oxidation risk,Limited,0.4,0.24,,,
Sweet Almond Oil,Prunus Amygdalus Dulcis Oil,Functional,Emollient,1,5,20,Skin softening,Oleic/linoleic lipid replenishment,Dry skin,4.0-8.0,Oxidation sensitive,Low,2.0,Safe,Limited,2-4 weeks,0.6,Vitamin E,,Nut allergen concern,Limited,0.4,0.24,,,
Avocado Oil,Persea Gratissima Oil,Functional,Nourishing emollient,1,5,20,Barrier nourishment,Phytosterol-rich lipid,Dry;Mature skin,4.0-8.0,Oxidation sensitive,Low,2.0,Safe,Limited,2-4 weeks,0.7,Ceramides,,Heavy feel,Limited,0.4,0.28,,,
Macadamia Seed Oil,Macadamia Integrifolia Seed Oil,Functional,Emollient,1,5,20,Barrier repair,Palmitoleic acid supply,Dry skin,4.0-8.0,Stable,Low,2.0,Safe,Limited,2-4 weeks,0.65,Squalane,,,Limited,0.4,0.26,,,
Hemp Seed Oil,Cannabis Sativa Seed Oil,Functional,Barrier repair oil,1,5,20,Barrier balance,Omega-3/6 lipids,Acne-prone,4.0-8.0,Oxidation sensitive,Low,0.0,Safe,Limited,2-4 weeks,0.75,Niacinamide,,Oxidation risk,Limited,0.4,0.3,,,
Meadowfoam Seed Oil,Limnanthes Alba Seed Oil,Functional,Stable emollient,1,5,20,Barrier softening,Long-chain fatty acids,All skin types,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,2-4 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,
Rice Bran Oil,Oryza Sativa Bran Oil,Functional,Antioxidant emollient,1,5,20,Barrier nourishment,Gamma-oryzanol,Dry skin,4.0-8.0,Moderately stable,Low,1.0,Safe,Moderate,2-4 weeks,0.65,Vitamin E,,,Moderate,0.7,0.455,,,
Sea Buckthorn Oil,Hippophae Rhamnoides Oil,Functional,Regenerative oil,0.5,2,10,Barrier repair,Omega-7 fatty acids,Post-acne;Aging,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,4-8 weeks,0.8,Vitamin E,,Color staining,Limited,0.4,0.3200000000000001,,,
Tamanu Oil,Calophyllum Inophyllum Seed Oil,Functional,Repair oil,0.5,2,10,Scar support,Calophyllolide activity,Post-acne,4.0-8.0,Oxidation sensitive,Medium,2.0,Safe,Limited,4-8 weeks,0.75,Vitamin E,,Irritation risk,Limited,0.4,0.3,,,
Marula Oil,Sclerocarya Birrea Seed Oil,Functional,Emollient,1,5,20,Antioxidant nourishment,Oleic-rich lipid,Dry skin,4.0-8.0,Highly stable,Low,1.0,Safe,Limited,2-4 weeks,0.65,Vitamin E,,,Limited,0.4,0.26,,,
Kukui Nut Oil,Aleurites Moluccanus Seed Oil,Functional,Barrier repair oil,1,5,20,Barrier restoration,Linoleic-rich lipid,Barrier damage,4.0-8.0,Oxidation sensitive,Low,1.0,Safe,Limited,2-4 weeks,0.7,Ceramides,,Oxidation risk,Limited,0.4,0.28,,,
Niacinamide Polydextrose,Vitamin B3 polymer complex,Active,Barrier repair;Hydration,1,3,5,Barrier strengthening,Sustained niacinamide release,Barrier damage;Dehydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.7,Ceramides,Strong acids,Limited adoption,Limited,0.4,0.28,,,
Retinyl Retinoate,Hybrid retinoid,Active,Anti-aging,0.05,0.1,0.3,Wrinkle reduction,RAR activation (dual),Aging,5.0-6.5,Light sensitive,High,1.0,Avoid pregnancy,Limited,8-12 weeks,0.95,Niacinamide,Benzoyl Peroxide,Irritation risk,Limited,0.4,0.38,,,
Retinyl Palmitate,Vitamin A ester,Active,Anti-aging,0.1,0.3,1,Skin renewal,Enzymatic retinoic conversion,Early aging,5.5-7.0,Photounstable,Medium,1.0,Avoid pregnancy,Limited,12-24 weeks,0.6,Antioxidants,UV exposure,Weak efficacy claims,Limited,0.4,0.24,,,
Granactive Retinoid,Hydroxypinacolone Retinoate,Active,Anti-aging,0.1,0.3,1,Wrinkle smoothing,Direct retinoid receptor binding,Aging,5.0-7.0,Light sensitive,Medium,1.0,Avoid pregnancy,Limited,8-12 weeks,0.85,Peptides,Strong acids,Marketing exaggeration,Limited,0.4,0.34,,,
Encapsulated Retinol,Microencapsulated retinol,Active,Anti-aging,0.1,0.25,0.5,Reduced irritation renewal,Controlled release,Aging;Acne,5.5-6.5,Improved stability,Medium,1.0,Avoid pregnancy,Limited,8-12 weeks,0.9,Niacinamide,Benzoyl Peroxide,,Limited,0.4,0.36,,,
Polyhydroxy Acid Blend,PHA complex,Active,Gentle exfoliation,3,6,10,Texture smoothing,Chelation + desquamation,Sensitive skin,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Ceramides,Strong acids,,Limited,0.4,0.3200000000000001,,,
Encapsulated Salicylic Acid,Microencapsulated BHA,Active,Anti-acne,0.3,1,2,Pore clearing,Controlled keratolysis,Acne,3.5-4.5,Improved stability,Low,1.0,Safe,Limited,4-6 weeks,0.85,Niacinamide,Retinoids,,Limited,0.4,0.34,,,
Zinc Salicylate,Zinc salicylate,Active,Anti-acne,0.1,0.5,2,Oil control,Antimicrobial + keratolytic,Acne,5.0-6.5,Stable,Low,1.0,Safe,Limited,4-6 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,
Silver Citrate,Silver salt,Active,Antimicrobial,0.01,0.1,0.5,Microbial control,Ion-based antimicrobial,Acne;Preservation,5.0-7.0,Light sensitive,Medium,0.0,Safe topical,Limited,2-4 weeks,0.7,Preservatives,,Regulatory caution,Limited,0.4,0.28,,,
Lactoferrin,Lactoferrin,Active,Anti-acne;Soothing,0.05,0.2,1,Inflammation reduction,Iron chelation,Acne;Redness,5.0-7.0,Heat sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.75,Zinc,,Limited adoption,Limited,0.4,0.3,,,
Epidermal Lipid Complex,Ceramide/Cholesterol/FA blend,Active,Barrier repair,1,3,5,Barrier restoration,SC lipid mimicry,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.95,Niacinamide,,,Limited,0.4,0.38,,,
Lamellar Emulsion Base,Lamellar lipid system,Functional,Barrier delivery,2,5,10,Improved penetration,Skin-mimetic lamellae,Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Chitosan,Chitosan,Functional,Film former;Soothing,0.1,0.5,2,Barrier protection,Bioadhesive polymer,Sensitive skin,4.0-6.5,pH dependent,Low,0.0,Safe,Limited,Immediate,0.6,Hyaluronic Acid,High pH,Marine allergen concern,Limited,0.4,0.24,,,
Hydroxypropyl Chitosan,Modified chitosan,Functional,Conditioning polymer,0.1,0.5,2,Smooth feel,Cationic film,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.55,Humectants,,,Limited,0.4,0.22,,,
Alginate,Alginic acid salt,Functional,Gel former,0.5,2,5,Hydration gel,Ion-crosslinked polymer,Sensitive skin,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.4,Calcium salts,,,Limited,0.4,0.16,,,
Carrageenan,Carrageenan,Functional,Gel former,0.3,1,3,Texture formation,Polysaccharide gel,Masks,4.0-8.0,Stable,Low,0.0,Safe topical,Limited,—,0.4,Humectants,,Controversial orally,Limited,0.4,0.16,,,
Pullulan Crosspolymer,Crosslinked pullulan,Functional,Film former,0.1,0.5,2,Instant tightening,Elastic polymer film,Temporary firming,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.45,Humectants,,Temporary effect,Limited,0.4,0.18,,,
Hydrolyzed Collagen,Collagen peptides,Functional,Film former;Humectant,0.5,2,5,Skin smoothing,Film hydration,Dehydration,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.4,Glycerin,,Surface-only effect,Limited,0.4,0.16,,,
Hydrolyzed Elastin,Elastin peptides,Functional,Conditioning,0.2,1,3,Skin softness,Film formation,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.4,Humectants,,Surface-only,Limited,0.4,0.16,,,
Silk Amino Acids,Hydrolyzed silk,Functional,Conditioning,0.1,0.5,2,Smooth feel,Protein film,Hair;Skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Humectants,,Cosmetic effect,Limited,0.4,0.18,,,
Hydrolyzed Rice Protein,Rice peptides,Functional,Conditioning,0.1,0.5,2,Skin softness,Protein film,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Humectants,,,Limited,0.4,0.18,,,
Hydrolyzed Wheat Protein,Wheat peptides,Functional,Conditioning,0.1,0.5,2,Skin smoothing,Protein film formation,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Humectants,,Gluten allergen concern,Limited,0.4,0.18,,,
Hydrolyzed Oat Protein,Oat peptides,Functional,Soothing;Conditioning,0.1,0.5,2,Calming,Protein film,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.55,Beta-glucan,,,Limited,0.4,0.22,,,
Hydrolyzed Soy Protein,Soy peptides,Functional,Conditioning,0.1,0.5,2,Skin softness,Protein film,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Humectants,,Soy allergen concern,Limited,0.4,0.18,,,
Hydrolyzed Keratin,Keratin peptides,Functional,Film former,0.1,0.5,2,Skin conditioning,Protein film,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Humectants,,Surface-only,Limited,0.4,0.18,,,
DNA Repair Enzyme,Photolyase complex,Active,DNA repair,0.01,0.1,0.5,Photodamage repair,CPD repair,Photoaging,6.0-7.5,Light sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.9,Sunscreens,,Premium cost,Limited,0.4,0.36,,,
Photolyase,Photolyase,Active,DNA repair,0.01,0.1,0.5,UV damage repair,DNA photoreactivation,Photoaging,6.0-7.5,Light sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.9,Sunscreens,,Requires light activation,Limited,0.4,0.36,,,
Endonuclease,DNA repair enzyme,Active,DNA repair,0.01,0.1,0.5,Cell protection,DNA strand repair,Photoaging,6.0-7.5,Heat sensitive,Low,0.0,Safe,Limited,4-8 weeks,0.85,Antioxidants,,Limited cosmetic use,Limited,0.4,0.34,,,
Fermented Hyaluronic Acid,Bio-fermented HA,Active,Hydration,0.1,1,3,Deep hydration,Enhanced bioavailability,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Ceramides,,,Limited,0.4,0.3,,,
Low Molecular Weight HA,LMW Hyaluronic Acid,Active,Penetrating hydration,0.01,0.1,0.5,Deep hydration,Enhanced diffusion,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.7,Occlusives,,Irritation myths,Limited,0.4,0.28,,,
High Molecular Weight HA,HMW Hyaluronic Acid,Active,Surface hydration,0.1,1,3,TEWL reduction,Film-forming hydration,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.65,Occlusives,,Surface-only,Limited,0.4,0.26,,,
Crosslinked Hyaluronic Acid,3D HA,Active,Sustained hydration,0.05,0.2,1,Long-term moisture,Reservoir effect,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,
Biosaccharide Gum-2,Polysaccharide,Active,Barrier support,0.1,1,5,Skin protection,Bioadhesive polymer,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.7,Panthenol,,,Limited,0.4,0.28,,,
Sodium Alginate,Alginate salt,Functional,Gel former,0.5,2,5,Hydrogel formation,Ion crosslinking,Masks,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.4,Calcium salts,,,Limited,0.4,0.16,,,
Calcium Alginate,Alginate salt,Functional,Gel former,0.5,2,5,Elastic gel,Calcium crosslinking,Masks,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.4,Alginate,,,Limited,0.4,0.16,,,
Gellan Gum,Gellan gum,Functional,Gel former,0.1,0.5,2,Clear gels,Ion-activated polymer,Serums,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.45,Xanthan gum,,,Limited,0.4,0.18,,,
Sclerotium Gum,Sclerotium gum,Functional,Thickener,0.2,0.6,2,Smooth texture,Polysaccharide gel,Serums,4.0-8.0,Stable,Low,0.0,Safe,Limited,—,0.45,Xanthan gum,,,Limited,0.4,0.18,,,
Pullulan Gum,Pullulan,Functional,Film former,0.1,1,5,Instant tightening,Polysaccharide film,Temporary firming,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.45,Humectants,,Temporary effect,Limited,0.4,0.18,,,
Konjac Glucomannan,Glucomannan,Functional,Humectant,0.1,0.5,2,Hydration,High water binding,Dehydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,
Beta-Glucan Oligosaccharide,Oat-derived beta-glucan,Active,Barrier repair,0.05,0.3,1,Barrier strengthening,Immune modulation,Sensitive skin,4.5-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.85,Panthenol,,,Limited,0.4,0.34,,,
Marine Collagen,Fish collagen peptides,Functional,Film former,0.5,2,5,Skin smoothing,Protein film,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.4,Humectants,,Marine allergen concern,Limited,0.4,0.16,,,
Elastin Amino Acids,Elastin peptides,Functional,Conditioning,0.2,1,3,Skin softness,Protein film,Dry skin,4.0-7.0,Stable,Low,1.0,Safe,Limited,Immediate,0.4,Humectants,,Surface-only,Limited,0.4,0.16,,,
Pea Peptide,Pisum sativum peptide,Active,Firming,0.01,0.1,0.5,Skin firmness,Signal peptide,Aging,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Niacinamide,,Limited data,Limited,0.4,0.3200000000000001,,,
