Skin_Concern,Primary_Active,Primary_Evidence_Level,Primary_Effect_Weight,Upgrade_Active,Upgrade_Evidence_Level,Upgrade_Effect_Weight,Upgrade_Type,Works_Better_With,Required_Functional_Support,Safety_Floor,Min_Formulation_Gain,Upgrade_Reason,Confidence_Level,Do_Not_Upgrade,Release_Tier,Do_Not_Upgrade_Reason
General,Chlorella Protothecoides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chlorella Protothecoides Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chlorella Vulgaris Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chlorogenic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chlorophyll,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chlorphenesin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cholesterol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Chondrus Crispus,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cinnamon Bark,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Citral,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Citramalic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Citric Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Clarivine?,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Coal Tar,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cocamidopropyl,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cocamidopropyl Betaine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Coco Glucoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Coco-Betaine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Coco-Caprylate/Caprate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cocos Nucifera Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Coffee Seed Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Colloidal Oatmeal,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Copper Heptapeptide-14 Pantothenate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Copper Lysinate/Prolinate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Copper PCA,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Copper Palmitoyl Heptapeptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Copper Peptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Copper Tripeptide-1,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Creatine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Crosslinked Hyaluronic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cucumber Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cucumis Sativus Fruit Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Curcuma Longa,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cyclodextrin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cyclohexasiloxane,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cyclopentasiloxane,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cysteamine HCl,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Cysteine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,DMAE,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,DMDM Hydantoin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,DNA Repair Enzyme,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Decyl Glucoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dehydroacetic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Diazolidinyl Urea,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dicaprylyl Carbonate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Diethylamino Hydroxybenzoyl Hexyl Benzoate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Diethylhexyl Butamido Triazone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dihydroxyacetone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Diisopropyl Adipate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Diisopropyl Sebacate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dimethicone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dimethiconol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dioic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Diosmin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dipeptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dipeptide Diaminobutyroyl Benzylamide Diacetate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dipotassium Glycyrrhizate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dipropylene Glycol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Disodium Cocoyl Glutamate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Disodium EDTA,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Disodium Laureth Sulfosuccinate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Drometrizole Trisiloxane,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dunaliella Salina (Green Algae) Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Dunaliella Salina Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,EGCG,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,ETERWELL? YOUTH,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ecamsule,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ectoin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Elastin Amino Acids,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ellagic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Encapsulated Retinol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Encapsulated Salicylic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Endonuclease,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Endothelyol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ensulizole,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Epidermal Lipid Complex,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ergosterol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ergothioneine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Erythritol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Erythrulose,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Essential Lipids,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethanol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethyl Ascorbic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethylhexyl Methoxycinnamate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethylhexyl Salicylate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethylhexyl Triazone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethylhexylglyc.,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethylhexylglycerin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ethylhexylglycerin Carbonate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Evening Primrose Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Exosome Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Exosome-like Vesicles,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Exosomes,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fermented Ceramide NP,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fermented Hyaluronic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fermented Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fernblock,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ferric Hexapeptide,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ferulic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ferulic Acid Ethyl Ester,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Feruloyl Soy Glycerides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Feverfew Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fomes Of?cinalis (Mushroom) Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Formaldehyde,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fragrance,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fructooligosaccharides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Fucose-Rich Polysaccharide Complex,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Galactomyces Ferment Filtrate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Galguard?,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Gellan Gum,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Geraniol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ginkgo Biloba,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Ginseng Ext,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Gluconic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Gluconolactone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glucose Oxidase,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glucosyl Hesperidin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glutathione,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glutathione Ethyl Ester,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glyceryl Caprylate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glyceryl Glucoside,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glyceryl Stearate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycolic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycolipids,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycoproteins,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycosphingolipids,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycyrrhiza Glabra Root Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Glycyrrhiza Inflata Root Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Golden-Eye Grass Complex,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Granactive Retinoid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Grapeseed Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Green Tea,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Green Tea Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Guarana Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,HPR,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Haematococcus Pluvialis Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hamamelis Virginiana Leaf Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hemp Seed Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Heptapeptide-15 Palmitate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hesperidin Methyl Chalcone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hexapeptide-11,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hexapeptide-9,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hexylresorcinol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hibiscus Fruit Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,High Molecular Weight HA,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Histidine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Homosalate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Horse Chestnut,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Human Adipose Stem Cell Conditioned Media,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Humectants,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrogenated Lecithin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrogenated Polyisobutene,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrogenated Vegetable Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Collagen,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Elastin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed F-Fucoidan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Hyaluronic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Keratin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Oat Protein,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Pumpkin Seedcake,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Rice Protein,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Soy Protein,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydrolyzed Wheat Protein,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroquinone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxyacetophenone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxyectoin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxyethyl Urea,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxyethylcellulose,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypinacolone Retinoate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypinacolone Retinoate Complex,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypropyl Chitosan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypropyl Cyclodextrin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypropyl Methylcellulose,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypropyl Starch Phosphate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxypropyltrimonium Hyaluronate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Hydroxystearic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Idebenone,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Imidazolidinyl Urea,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Indian Gooseberry,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Inulin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Iron Oxides,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isoamyl Laurate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isoamyl p-Methoxycinnamate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isododecane,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isohexadecane,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isoleucine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isopropyl Alcohol,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isopropyl Myristate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Isostearyl Isostearate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Jeju Green Tea Water,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Jojoba Beads,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Jojoba Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Kojic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Kojic Dipalmitate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Kola Seed Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Konjac Glucomannan,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Kukui Nut Oil,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,L-Ascorbic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,L-Carnitine,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Lactobacillus Extract Filtrate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Lactobacillus Ferment,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Lactobacillus Ferment Lysate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Lactobionic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Lactococcus Ferment Lysate,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Lactoferrin,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
