INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk
Tripeptide-1,GHK,Active,Repair peptide,0.01,0.05,0.1,Barrier Support; Copper-binding signaling,Copper-binding signaling,Barrier Repair; Acne & Oily Skin,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.85,Copper peptides,,,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Palmitoyl Dipeptide-7,Peptide,Active,Soothing;Repair,0.002,0.01,0.05,Soothing; Barrier Support,Anti-inflammatory signaling,Sensitive Skin; Redness; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.75,Ceramides,,,Limited,0.4,0.3,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Acetyl Octapeptide-3,SNAP-8,Active,Peptide;Anti-wrinkle,0.005,0.05,0.1,Anti-aging; Peptide; SNARE complex inhibition,SNARE complex inhibition,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.75,Hyaluronic Acid,Strong acids,Botox-like claim inflation,Limited,0.4,0.3,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Pentapeptide-18,Leuphasyl,Active,Peptide;Anti-wrinkle,0.005,0.05,0.1,Muscle relaxation; Peptide; Anti-aging; Neurotransmitter modulation,Neurotransmitter modulation,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,Acetyl Hexapeptide-8,Strong acids,Temporary effect,Limited,0.4,0.28,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Oligopeptide-20,Epidermal peptide,Active,Growth modulation,0.0001,0.001,0.01,Cell renewal; Growth modulation; EGF-like signaling,EGF-like signaling,Aging & Fine Lines,6.0-7.0,Heat sensitive,Low,0,Avoid pregnancy caution,Limited,4-8 weeks,0.85,Panthenol,Acids,Limited data,Limited,0.4,0.34,,,,Small cosmetic studies; limited independent long-term data,4,4,Low
Sodium Carboxymethyl Beta-Glucan,Modified beta-glucan,Active,Soothing;Repair,0.1,0.5,2,Barrier Support; Soothing; Immune modulation,Immune modulation,Barrier Repair; Sensitive Skin,4.5-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,Low
Hydroxypropyltrimonium Hyaluronate,Cationic HA,Active,Conditioning hydration,0.05,0.2,1,Hydration; Electrostatic binding,Electrostatic binding,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.75,Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Sodium Acetylated Hyaluronate,Super HA,Active,Deep hydration,0.05,0.2,1,Barrier Support; Hydration; Enhanced skin affinity,Enhanced skin affinity,Hydration; Barrier Repair,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,Low
Hydrolyzed Hyaluronic Acid,Low MW HA,Active,Penetrating hydration,0.01,0.1,0.5,Hydration; Low molecular diffusion,Low molecular diffusion,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.7,Occlusives,,Irritation myths,Limited,0.4,0.28,,,,Limited clinical evidence,4,4,Low
Sodium Lactate,Lactic acid salt,Functional,Humectant;Buffer,1,3,10,Hydration; Buffer; NMF component,NMF component,Hydration,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.6,Glycerin,,Sticky feel,Limited,0.4,0.24,,,,Moderate,7,4,Low
Ammonium Lactate,Lactic acid salt,Functional,Humectant;Keratolytic,5,12,12,Hydration; Smoothing; Exfoliation / Texture; Corneocyte loosening,Corneocyte loosening,Uneven Texture; Hydration,4.5-7.0,Stable,Medium,1,Safe,Limited,1-3 weeks,0.7,Urea,Inflamed skin,Stinging risk,Limited,0.4,0.28,,,,Moderate,7,4,Medium
Sodium PCA Lactate,NMF complex,Functional,Humectant,1,3,10,Hydration; NMF synergy,NMF synergy,Hydration,5.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,,Moderate,7,4,Low
Trehalose,Trehalose,Functional,Humectant,1,3,10,Hydration; Cell protection,Cell protection,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,,Moderate,7,4,Low
Erythritol,Erythritol,Functional,Humectant,0.5,2,8,Hydration; Osmoprotection,Osmoprotection,Hydration; Sensitive Skin,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.55,Glycerin,,,Limited,0.4,0.22,,,,Moderate,7,4,Low
Sodium Polyglutamate,Polyglutamic acid sodium salt,Active,Humectant,0.1,1,5,Hydration; Film-forming humectancy,Film-forming humectancy,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.7,Hyaluronic Acid,,,Limited,0.4,0.28,,,,Moderate,7,4,Low
Saccharide Isomerate,Pentavitin,Active,Deep hydration,1,3,5,Hydration; Covalent skin binding,Covalent skin binding,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.75,Glycerin,,,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Inulin,Inulin,Active,Prebiotic humectant,0.5,2,5,Microbiome support; Hydration; Prebiotic action,Prebiotic action,Sensitive Skin; Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.6,Ferments,,Emerging data,Limited,0.4,0.24,,,,Moderate,7,4,Low
Alpha-Glucan Oligosaccharide,Prebiotic sugar,Active,Microbiome support,0.5,2,5,Barrier Support; Microbiome support; Selective microbial feeding,Selective microbial feeding,Barrier Repair; Sensitive Skin,4.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.65,Lactobacillus Ferment,,,Limited,0.4,0.26,,,,Moderate,4,4,Low
Fructooligosaccharides,FOS,Active,Prebiotic,0.5,2,5,Microbiome balance; Prebiotic; Prebiotic nutrition,Prebiotic nutrition,Sensitive Skin,4.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.6,Ferments,,,Limited,0.4,0.24,,,,Moderate,4,4,Low
Betaine Salicylate,Betaine + Salicylate,Active,Gentle exfoliant,0.5,2,5,Anti-acne; Gentle exfoliant; Mild keratolysis,Mild keratolysis,Acne & Oily Skin,4.0-6.0,Stable,Low,1,Safe,Limited,4-6 weeks,0.7,Niacinamide,Retinoids,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Gluconic Acid,Gluconic acid,Active,Chelating exfoliant,1,3,6,Exfoliation / Texture; Chelating exfoliant; Metal chelation,Metal chelation,Sensitive Skin; Uneven Texture,3.5-4.5,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,PHAs,Strong acids,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Malic Acid,AHA,Active,Exfoliant,3,5,10,Exfoliation / Texture; Exfoliant; Keratolysis,Keratolysis,Dullness; Uneven Texture,3.5-4.5,Stable,Medium,1,Safe,Limited,4-8 weeks,0.65,Lactic Acid,Retinoids,,Limited,0.4,0.26,,,,Moderate,4,4,Medium
Tartaric Acid,AHA,Active,pH adjuster;Exfoliant,1,3,10,Exfoliation / Texture; pH adjuster; Exfoliant; Chelation,Chelation,Dullness; Uneven Texture,3.0-4.0,Stable,Medium,1,Safe,Limited,4-8 weeks,0.6,AHAs,Retinoids,,Limited,0.4,0.24,,,,Moderate,4,4,Medium
Citramalic Acid,Citramalic acid,Active,Exfoliant,1,3,8,Exfoliation / Texture; Exfoliant; Keratolysis,Keratolysis,Sensitive Skin; Uneven Texture,3.5-4.5,Stable,Low,0,Safe,Limited,4-8 weeks,0.6,PHAs,Strong acids,Emerging data,Limited,0.4,0.24,,,,Moderate,4,4,Low
Pyruvic Acid,Pyruvic acid,Active,Exfoliant,2,5,10,Anti-acne; Exfoliant,Sebum solubilization,Uneven Texture; Acne & Oily Skin,2.5-3.5,Unstable,High,1,Medical use caution,Limited,4-8 weeks,0.8,Salicylic Acid,Retinoids,Irritation risk,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,High
Azelaic Acid Potassium Salt,Potassium Azelate,Active,Sebum control,3,5,10,Oil balance; Anti-acne; Azelaic derivative action,Azelaic derivative action,Acne & Oily Skin,5.0-7.0,Stable,Low,0,Safe,Limited,6-10 weeks,0.7,Niacinamide,,Limited adoption,Limited,0.4,0.28,,,,Limited clinical evidence,4,4,Low
Ferulic Acid Ethyl Ester,Ethyl Ferulate,Active,Antioxidant,0.3,1,3,Photoprotection; Antioxidant,Enhanced lipid solubility antioxidant,Aging & Fine Lines; UV Damage,4.0-7.0,Light sensitive,Low,0,Safe,Moderate,4-8 weeks,0.75,Vitamin C derivatives,,Emerging use,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5,6,Low
Carnosine,Carnosine,Active,Anti-glycation,0.1,0.5,2,Anti-aging; Anti-glycation; Glycation inhibition,Glycation inhibition,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,6-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,Low
Ergothioneine,Ergothioneine,Active,Antioxidant,0.01,0.1,0.5,Cell protection; Antioxidant; Mitochondrial protection,Mitochondrial protection,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0,Safe,Moderate,4-8 weeks,0.85,Vitamin C;E,,Premium pricing,Moderate,0.7,0.595,,,,Moderate clinical evidence,5,6,Low
Lutein,Lutein,Active,Antioxidant,0.05,0.2,1,Blue-light defense; Antioxidant; Carotenoid quenching,Carotenoid quenching,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,0,Safe,Moderate,4-8 weeks,0.75,Zeaxanthin,,Coloring effect,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5,6,Low
Zeaxanthin,Zeaxanthin,Active,Antioxidant,0.05,0.2,1,Blue-light defense; Antioxidant; Carotenoid quenching,Carotenoid quenching,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,0,Safe,Moderate,4-8 weeks,0.75,Lutein,,Coloring effect,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5,6,Low
Baicalin,Baicalin,Active,Anti-inflammatory,0.1,0.5,2,Soothing; NF-kB modulation,NF-kB modulation,Sensitive Skin,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.75,Centella Extract,,,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Baicalein,Baicalein,Active,Antioxidant,0.05,0.2,1,Anti-aging; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0,Safe,Moderate,4-8 weeks,0.8,Ferulic Acid,,,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5,6,Low
Madecassic Acid,Madecassic acid,Active,Barrier repair,0.05,0.2,1,Soothing; Barrier Support; Centella triterpenoid,Centella triterpenoid,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0,Safe,Limited,2-6 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,Limited clinical evidence,8,4,Low
Asiatic Acid,Asiatic acid,Active,Repair,0.05,0.2,1,Wound healing; Barrier Support; Collagen modulation,Collagen modulation,Acne & Oily Skin; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.85,Panthenol,,,Limited,0.4,0.34,,,,Limited clinical evidence,4,4,Low
Hesperidin Methyl Chalcone,HMC,Active,Vascular support,0.1,0.5,2,Dark circle reduction; Vascular support; Capillary strengthening,Capillary strengthening,Dark Circles,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.75,Caffeine,,,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Diosmin,Diosmin,Active,Vascular support,0.1,0.5,2,Dark circle reduction; Vascular support; Venotonic action,Venotonic action,Dark Circles,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,Hesperidin,,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Niacinamide Chloride,Niacinamide salt,Active,Barrier support,1,3,5,Barrier Support; Ceramide synthesis,Ceramide synthesis,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,Ceramides,,Limited adoption,Limited,0.4,0.28,,,,Limited clinical evidence,8,4,Low
Adenosine,Adenosine,Active,Anti-wrinkle,0.1,0.3,1,Anti-aging; A2A receptor activation,A2A receptor activation,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence,4,4,Low
Proline,Proline,Active,Barrier repair,0.1,0.5,2,Skin resilience; Barrier Support; Collagen precursor,Collagen precursor,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,Glycine,,,Limited,0.4,0.28,,,,Moderate,8,4,Low
Glycine,Glycine,Active,Barrier support,0.1,0.5,2,Skin conditioning; Barrier Support; NMF amino acid,NMF amino acid,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.6,Proline,,,Limited,0.4,0.24,,,,Moderate,8,4,Low
Arginine,L-Arginine,Active,pH buffering;Repair,0.1,0.5,2,Barrier Support; pH buffering; NO signaling,NO signaling,Barrier Repair,5.0-7.5,Stable,Low,0,Safe,Limited,2-4 weeks,0.7,Panthenol,,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Histidine,Histidine,Active,Antioxidant,0.05,0.3,1,Barrier Support; Antioxidant; Metal chelation,Metal chelation,Barrier Repair; Sensitive Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Moderate,2-4 weeks,0.65,Zinc PCA,,,Moderate,0.7,0.455,,,,Moderate,5,6,Low
Serine,Serine,Active,Humectant,0.1,0.5,2,Hydration; NMF amino acid,NMF amino acid,Hydration,5.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,,Moderate,7,4,Low
Alanine,Alanine,Active,Conditioning,0.1,0.5,2,Skin softness; Conditioning; NMF amino acid,NMF amino acid,Hydration,5.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.55,Serine,,,Limited,0.4,0.22,,,,Moderate,4,4,Low
Valine,Valine,Active,Barrier support,0.05,0.3,1,Skin resilience; Barrier Support; Amino acid metabolism,Amino acid metabolism,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.6,Leucine,,,Limited,0.4,0.24,,,,Moderate,8,4,Low
Leucine,Leucine,Active,Barrier support,0.05,0.3,1,Skin resilience; Barrier Support; Protein synthesis,Protein synthesis,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.6,Valine,,,Limited,0.4,0.24,,,,Moderate,8,4,Low
Isoleucine,Isoleucine,Active,Barrier support,0.05,0.3,1,Skin conditioning; Barrier Support; Protein synthesis,Protein synthesis,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.6,Leucine,,,Limited,0.4,0.24,,,,Moderate,8,4,Low
Phenylalanine,Phenylalanine,Active,Barrier support,0.05,0.3,1,Skin conditioning; Barrier Support; Protein synthesis,Protein synthesis,Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.6,Tyrosine,,,Limited,0.4,0.24,,,,Moderate,8,4,Low
Tyrosine,Tyrosine,Active,Pigment modulation,0.05,0.3,1,Brightening; Melanin pathway modulation,Melanin pathway modulation,Pigmentation; Dullness,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.65,Vitamin C,,Indirect effect,Limited,0.4,0.26,,,,Moderate,4,4,Low
Methionine,Methionine,Active,Antioxidant support,0.05,0.3,1,Barrier Support; Antioxidant; Sulfur amino acid,Sulfur amino acid,Barrier Repair; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Moderate,2-4 weeks,0.6,Cysteine,,,Moderate,0.7,0.42,,,,Moderate,5,6,Low
Cysteine,Cysteine,Active,Antioxidant precursor,0.05,0.3,1,Barrier Support; Antioxidant; Glutathione precursor,Glutathione precursor,Barrier Repair; UV Damage; Aging & Fine Lines,5.0-7.0,Oxidation sensitive,Low,0,Safe,Moderate,2-4 weeks,0.65,Vitamin C,,Stability dependent,Moderate,0.7,0.455,,,,Moderate,5,6,Low
Taurine,Taurine,Active,Osmoprotection,0.1,0.5,2,Hydration; Osmoprotection; Cell volume regulation,Cell volume regulation,Hydration,5.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.6,Betaine,,,Limited,0.4,0.24,,,,Moderate,4,4,Low
Carnitine,L-Carnitine,Active,Sebum regulation,0.1,0.5,2,Oil Control; Anti-acne; Fatty acid transport,Fatty acid transport,Acne & Oily Skin,5.0-7.0,Stable,Low,0,Safe,Limited,4-6 weeks,0.7,Niacinamide,,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Creatine,Creatine,Active,Cell energy support,0.1,0.5,2,Skin vitality; Cell energy support; ATP regeneration,ATP regeneration,Aging & Fine Lines,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.7,CoQ10,,,Limited,0.4,0.28,,,,Moderate,4,4,Low
Ubiquinol,Reduced CoQ10,Active,Antioxidant,0.05,0.3,1,Anti-aging; Antioxidant; Enhanced mitochondrial protection,Enhanced mitochondrial protection,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,1,Safe,Moderate,6-10 weeks,0.85,Vitamin E,,Oxidation risk,Moderate,0.7,0.595,,,,Moderate clinical evidence,5,6,Low
Sodium Ascorbyl Phosphate Chloride,SAP salt variant,Active,Brightening;Anti-acne,1,3,5,Anti-acne; Brightening; Antimicrobial action,Antimicrobial action,Acne & Oily Skin; Pigmentation; Dullness,6.0-7.0,Stable,Low,0,Safe,Limited,6-10 weeks,0.75,Zinc PCA,Low pH acids,Limited adoption,Limited,0.4,0.3,,,,Limited clinical evidence,4,4,Low
Ascorbyl Tetraisopalmitate,Lipid-soluble Vitamin C,Active,Brightening;Antioxidant,1,3,5,Brightening; Antioxidant,Lipid-phase antioxidant,Pigmentation; Aging & Fine Lines; Dullness; UV Damage,5.0-7.0,Highly stable,Low,1,Safe,Moderate,8-12 weeks,0.8,Vitamin E,,Slow results,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence,5,6,Low
Hydroxyacetophenone,p-Hydroxyacetophenone,Functional,Antioxidant;Preservative booster,0.1,0.5,1,Formula stabilization; Antioxidant; Preservative booster,Free radical scavenging,UV Damage; Aging & Fine Lines,4.0-8.0,Highly stable,Low,0,Safe,Moderate,?,0.35,Phenoxyethanol,,,Moderate,0.7,0.245,,,,Moderate,5,6,Low
Ethylhexylglycerin Carbonate,Ethylhexylglycerin derivative,Functional,Preservative booster,0.1,0.3,0.5,Preservation enhancement; Preservative booster; Membrane destabilization,Membrane destabilization,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.3,Phenoxyethanol,,,Limited,0.4,0.12,,,,Strong Clinical,2,4,Low
Caprylyl Glycol,"1,2-Octanediol",Functional,Humectant;Preservative booster,0.3,1,3,Microbial control; Hydration; Preservative booster; Cell membrane disruption,Cell membrane disruption,Hydration,4.0-8.0,Stable,Low,1,Safe,Limited,?,0.4,Phenoxyethanol,,,Limited,0.4,0.16,,,,Moderate,7,4,Low
Pentylene Glycol,Pentylene glycol,Functional,Humectant;Solvent,1,5,20,Hydration; Solvent; Solvent action,Solvent action,Hydration,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.45,Glycerin,,,Limited,0.4,0.18,,,,Moderate,7,4,Low
Hydroxypropyl Cyclodextrin,Cyclodextrin derivative,Functional,Stabilizer,0.1,0.5,2,Active stabilization; Stabilizer; Molecular encapsulation,Molecular encapsulation,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.35,Unstable actives,,Encapsulation-only role,Limited,0.4,0.14,,,,Moderate,4,4,Low
Cyclodextrin,Cyclodextrin,Functional,Encapsulating agent,0.1,0.5,2,Active protection; Encapsulating agent; Inclusion complex,Inclusion complex,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.4,Retinoids;Fragrance,,,Limited,0.4,0.16,,,,Moderate,4,4,Low
Hydroxypropyl Starch Phosphate,Modified starch,Functional,Thickener,0.5,2,5,Exfoliation / Texture; Thickener; Starch swelling,Starch swelling,Uneven Texture,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.25,Silica,,,Limited,0.4,0.1,,,,Moderate,4,4,Low
Aluminum Starch Octenylsuccinate,Oil absorbent starch,Functional,Oil control,1,5,15,Mattifying; Oil control; Anti-acne,Sebum absorption,Acne & Oily Skin,4.0-8.0,Stable,Low,1,Safe,Limited,?,0.3,Silica,,White cast risk,Limited,0.4,0.12,,,,Moderate,4,4,Low
Polyurethane-35,Film former polymer,Functional,Film former,0.5,2,5,Long-wear; Film former; Flexible polymer film,Flexible polymer film,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.35,Silicones,,Cosmetic-only,Limited,0.4,0.14,,,,Moderate,4,4,Low
VP/VA Copolymer,Vinyl polymer,Functional,Film former,0.5,3,10,Hold; film formation; Film former; Polymer network,Polymer network,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.25,Plasticizers,,Dry feel,Limited,0.4,0.1,,,,Moderate,4,4,Low
Sodium Chloride,Salt,Functional,Viscosity adjuster,0.1,1,5,Exfoliation / Texture; Viscosity adjuster; Ionic thickening,Ionic thickening,Uneven Texture,4.0-8.0,Highly stable,Low,0,Safe,Limited,?,0.05,Surfactants,,Drying in leave-on,Limited,0.4,0.02,,,,Moderate,4,4,Low
Calcium PCA,Calcium salt of PCA,Active,Hydration;Barrier support,0.1,0.5,2,Barrier Support; Hydration; NMF mineral support,NMF mineral support,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.65,Sodium PCA,,,Limited,0.4,0.26,,,,Moderate,8,4,Low
Magnesium Ascorbyl Phosphate Phosphate,MAP variant,Active,Brightening;Antioxidant,3,5,10,Brightening; Antioxidant; Enzymatic AA conversion,Enzymatic AA conversion,Pigmentation; Acne & Oily Skin; Dullness; UV Damage; Aging & Fine Lines,6.0-7.5,Highly stable,Low,0,Safe,Moderate,8-12 weeks,0.75,Niacinamide,Low pH acids,Slow onset,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence,5,6,Low
Sodium Cocoyl Alaninate,Amino-acid surfactant,Functional,Mild surfactant,2,5,10,Gentle cleansing; Mild surfactant; Low-irritation surfactant,Low-irritation surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.75,CAPB,,,Limited,0.4,0.3,,,,Moderate,5,4,Low
Sodium Cocoyl Glycinate,Amino-acid surfactant,Functional,Mild surfactant,2,5,10,Gentle cleansing; Mild surfactant; Skin-identical amino acid surfactant,Skin-identical amino acid surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.8,CAPB,,,Limited,0.4,0.3200000000000001,,,,Moderate,5,4,Low
Disodium Cocoyl Glutamate,Amino-acid surfactant,Functional,Mild surfactant,2,5,10,Gentle cleansing; Mild surfactant; Low irritation cleansing,Low irritation cleansing,Sensitive Skin,5.0-6.5,Stable,Low,1,Safe,Limited,Immediate,0.8,Sodium Cocoyl Glutamate,,,Limited,0.4,0.3200000000000001,,,,Moderate,5,4,Low
Lauryl Glucoside,Alkyl polyglucoside,Functional,Nonionic surfactant,2,5,10,Gentle cleansing; Nonionic surfactant; Sugar-based surfactant,Sugar-based surfactant,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.7,Decyl Glucoside,,,Limited,0.4,0.28,,,,Moderate,5,4,Low
Coco-Betaine,Amphoteric surfactant,Functional,Mild surfactant,2,6,12,Foam boosting; Mild surfactant; Zwitterionic surfactant,Zwitterionic surfactant,Sensitive Skin,5.0-7.0,Stable,Medium,2,Safe,Limited,Immediate,0.6,SLES,,Allergy reports,Limited,0.4,0.24,,,,Moderate,5,4,Medium
Sodium Lauroamphoacetate,Amphoteric surfactant,Functional,Mild surfactant,2,6,12,Gentle cleansing; Mild surfactant; Large amphoteric molecule,Large amphoteric molecule,Sensitive Skin,5.0-7.0,Stable,Low,1,Safe,Limited,Immediate,0.75,CAPB,,,Limited,0.4,0.3,,,,Moderate,5,4,Low
PEG-6 Caprylic/Capric Glycerides,PEG glycerides,Functional,Solubilizer;Surfactant,0.5,2,5,Solubilization; Solubilizer; Surfactant; Nonionic surfactant,Nonionic surfactant,,4.0-8.0,Stable,Low,2,Safe,Limited,?,0.3,Fragrance,,Ethoxylation concern,Limited,0.4,0.12,,,,Moderate,5,4,Low
Polyglyceryl-10 Laurate,Polyglycerol ester,Functional,Emulsifier;Solubilizer,0.5,2,5,Gentle solubilization; Emulsifier; Solubilizer; Non-ethoxylated emulsifier,Non-ethoxylated emulsifier,Sensitive Skin,4.0-8.0,Stable,Low,1,Safe,Limited,?,0.35,Essential oils,,,Limited,0.4,0.14,,,,Moderate,3,4,Low
Polyglyceryl-6 Caprylate,Polyglycerol ester,Functional,Emulsifier;Preservative booster,0.3,1,3,Antimicrobial support; Emulsifier; Preservative booster; Membrane disruption,Membrane disruption,,4.0-8.0,Stable,Low,1,Safe,Limited,?,0.35,Glyceryl Caprylate,,,Limited,0.4,0.14,,,,Moderate,3,4,Low
Glyceryl Caprylate,Monoglyceride,Functional,Emollient;Preservative booster,0.2,0.5,2,Antimicrobial support; Hydration; Preservative booster; Membrane disruption,Membrane disruption,Hydration,4.0-8.0,Stable,Low,1,Safe,Limited,?,0.4,Phenoxyethanol,,,Limited,0.4,0.16,,,,Moderate,6,4,Low
Sodium Levulinate,Levulinic acid sodium salt,Functional,Preservative,0.3,1,2,Preservation; Preservative; pH-dependent antimicrobial,pH-dependent antimicrobial,,4.5-5.5,pH dependent,Low,0,Safe,Limited,?,0.3,Sodium Anisate,High pH formulas,Ineffective at high pH,Limited,0.4,0.12,,,,Moderate,2,4,Low
Sodium Anisate,Anisic acid sodium salt,Functional,Preservative,0.3,1,2,Preservation; Preservative; Organic acid antimicrobial,Organic acid antimicrobial,,4.5-5.5,pH dependent,Low,0,Safe,Limited,?,0.3,Sodium Levulinate,High pH formulas,Ineffective at high pH,Limited,0.4,0.12,,,,Moderate,2,4,Low
Caprylhydroxamic Acid,CHA,Functional,Preservative,0.1,0.3,0.5,Preservation; Preservative; Metal chelation antimicrobial,Metal chelation antimicrobial,,4.0-8.0,Stable,Low,0,Safe,Limited,?,0.45,Glycols,,,Limited,0.4,0.18,,,,Moderate,2,4,Low
Dehydroacetic Acid,Dehydroacetic acid,Functional,Preservative,0.3,0.6,1,Preservation; Preservative; Fungal inhibition,Fungal inhibition,,4.0-6.0,Stable,Low,0,Safe limits,Limited,?,0.35,Benzyl Alcohol,High pH formulas,,Limited,0.4,0.14,,,,Moderate,2,4,Low
